organism_name	taxid	bioproject_accession	bioproject_id	group	subgroup	size_mb	gc	assembly_accession	replicons	wgs	scaffolds	genes	proteins	release_date	modify_date	status	center	biosample_accession
Lophocereus schottii	153875	PRJNA318822	318822	Plants	Land Plants	797.926	35.9	GCA_002740545.1	NA	NCQV01	158704	NA	NA	2017-10-31	2017-10-31	Scaffold	The University of Arizona	SAMN06196470
Stenocereus thurberi	171973	PRJNA318822	318822	Plants	Land Plants	853.348	35.9	GCA_002740465.1	NA	NCQT01	159477	NA	NA	2017-10-31	2017-10-31	Scaffold	The University of Arizona	SAMN06196471
Viola pubescens var. scabriuscula	97446	PRJNA379317	379317	Plants	Land Plants	318.366	37.7	GCA_002752925.1	NA	NBIL01	157716	NA	NA	2017-11-06	2017-11-06	Scaffold	Michigan State University	SAMN06620010
Gossypioides kirkii	47615	PRJNA400144	400144	Plants	Land Plants	528.715	33.2725	GCA_002818315.1	chromosome 1:CM008980.1; chromosome 2:CM008981.1; chromosome 3:CM008982.1; chromosome 4:CM008983.1; chromosome 5:CM008984.1; chromosome 6:CM008985.1; chromosome 7:CM008986.1; chromosome 8:CM008987.1; chromosome 9:CM008988.1; chromosome 10:CM008989.1; chromosome 11:CM008990.1; chromosome 12:CM008991.1	PEQG01	745	NA	NA	2017-12-06	2017-12-08	Chromosome	Mississippi State University	SAMN07842098
Monoraphidium sp. 549	2020292	PRJNA392383	392383	Plants	Green Algae	74.6589	51.2	GCA_002814315.1	NA	NMUB01	1851	NA	NA	2017-12-08	2017-12-08	Contig	Seqomics Ltd.	SAMN07326317
Kokia drynarioides	47617	PRJNA400144	400144	Plants	Land Plants	517.43	33	GCA_002814295.1	NA	NTFQ01	15383	NA	NA	2017-12-08	2017-12-08	Scaffold	Mississippi State University	SAMN07559306
Prototheca stagnorum	215448	PRJDB3715	313869	Plants	Green Algae	16.8962	71.4	GCA_002794665.1	NA	BCJY01	27	NA	NA	2017-11-16	2017-11-16	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028436
Tetrabaena socialis	47790	PRJNA393411	393411	Plants	Green Algae	135.78	47.7	GCA_002891735.1	NA	PGGS01	5856	14296	14296	2018-01-18	2018-01-18	Scaffold	Volvocales Genome Consortium	SAMN07332538
Prototheca cutis	575411	PRJDB3669	313833	Plants	Green Algae	19.9692	60.2	GCA_002897115.1	NA	BCIH01	29	NA	NA	2017-11-16	2017-11-16	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028389
Quercus suber	58331	PRJNA433227	433227	Plants	Land Plants	953.299	35.5	GCA_002906115.1	NA	PKMF01	23344	79750	83154	2018-01-29	2018-01-29	Scaffold	NCBI	SAMN07312269
Cicer echinospermum	90897	PRJNA418060	418060	Plants	Land Plants	644.721	31.6	GCA_002896215.1	NA	PGTU01	19348	NA	NA	2018-01-23	2018-01-23	Contig	Cook Lab - University of California at Davis	SAMN07949201
Cicer reticulatum	90898	PRJNA418059	418059	Plants	Land Plants	715.407	31.7	GCA_002896235.1	NA	PGWS01	38802	NA	NA	2018-01-23	2018-01-23	Contig	Cook Lab - University of California at Davis	SAMN07948258
Chlorella sp. ArM0029B	1415603	PRJNA214256	214256	Plants	Green Algae	92.9612	56.7	GCA_002896455.1	NA	JTEE01	348	NA	NA	2018-01-24	2018-01-24	Scaffold	KRIBB	SAMN03196605
Apostasia shenzhenica	1088818	PRJNA310678	310678	Plants	Land Plants	348.733	34.9	GCA_002786265.1	NA	PEFY01	2985	21743	21743	2017-11-17	2017-12-06	Scaffold	Shenzhen Key Laboratory for Orchid Conservation and UtilizationThe National Orchid Conservation Center of China	SAMN04453324
Rhizophora apiculata	106626	PRJEB8423	407617	Plants	Land Plants	232.431	NA	GCA_900004065.1	NA	CELW01	45996	NA	NA	2017-09-19	2017-09-19	Scaffold	Zhang Zhang	SAMEA3249776
Solanum americanum	109975	PRJEB21472	395328	Plants	Land Plants	9.83576	36.7	GCA_900188835.1	NA	FYHH01	1483	NA	NA	2017-07-21	2017-07-21	Contig	Earlham Institute	SAMEA50404918
Corchorus olitorius	93759	PRJNA278717	278717	Plants	Land Plants	377.377	36.8	GCA_002141455.1	NA	LLWS01	52373	NA	NA	2017-05-16	2017-05-19	Contig	ICAR-Central Research Institute for Jute and Allied Fibres (CRIJAF)	SAMN04160039
Citrus unshiu	55188	PRJDB5088	345459	Plants	Land Plants	1.1542	35	GCA_001753815.1	NA	BDGO01	507	NA	NA	2016-10-04	2017-12-06	Contig	Genomics, Citrus Research Division, Institute of Fruit Tree and Tea Science, NARO	SAMD00057573
Coelastrella sp. UTEX B 3026	2033643	PRJNA401156	401156	Plants	Green Algae	151.547	36	GCA_002588565.1	NA	NSMO01	29867	NA	NA	2017-10-18	2017-10-18	Scaffold	Brooklyn College - City University of New York	SAMN07595962
Ocimum tenuiflorum	204149	PRJNA251328	251328	Plants	Land Plants	311.125	35.9	GCA_001748785.1	NA	JQCZ01	230018	NA	NA	2016-09-29	2016-09-29	Contig	Centre for Cellular and Molecular Platforms	SAMN02820240
Primula vulgaris	175104	PRJEB7311	261506	Plants	Land Plants	1.50478	35.6	GCA_001403715.1	NA	CYSU01	229	NA	NA	2015-09-19	2015-09-19	Scaffold	TGAC	SAMEA2802728
Fagopyrum tataricum	62330	PRJNA412573	412573	Plants	Land Plants	526.768	38	GCA_002928575.1	NA	PKMW01	2564	NA	NA	2018-02-14	2018-02-14	Scaffold	Theragen Etex Bio Institute	SAMN07780272
Ipomoea trifida	35884	PRJDB3230	279570	Plants	Land Plants	712.155	39.9	GCA_000981105.1	NA	BBOH01	181194	NA	NA	2015-03-27	2015-10-21	Scaffold	Kazusa DNA Research Institute	SAMD00020907
Picochlorum sp. 'soloecismus'	2053932	PRJNA418600	418600	Plants	Green Algae	15.2525	44.332	GCA_002818215.1	mitochondrion MT:CM008992.1; chloroplast Pltd:CM008993.1	PJAJ01	38	NA	NA	2017-12-08	2017-12-08	Scaffold	Los Alamos National Lab	SAMN08031155
Coccomyxa sp. SUA001	1667192	PRJNA285941	285941	Plants	Green Algae	11.7544	49.9	GCA_001244535.1	NA	LHAR01	23591	NA	NA	2015-08-05	2015-08-05	Contig	SaurashtraUniversity	SAMN03761152
Dioscorea rotundata	55577	PRJDB3383	396170	Plants	Land Plants	594.227	37.8	GCA_002260605.1	NA	BBQW01	4723	NA	NA	2017-07-28	2017-07-28	Scaffold	Iwate Biotechnology Research Center	SAMD00023560
Auxenochlorella protothecoides	3075	PRJNA362700	362700	Plants	Green Algae	32.73	59.3	GCA_002154875.1	NA	MUYL01	2978	NA	NA	2017-05-22	2017-05-22	Scaffold	Agricultural University of Athens	SAMN06273072
Elaeis oleifera	80265	PRJNA217846	217846	Plants	Land Plants	60.0019	38.2	GCA_002146275.1	NA	AXCH01	93897	NA	NA	2017-05-17	2017-05-17	Contig	MyOPGP	SAMN03103723
Solanum pennellii	28526	PRJEB5228	236991	Plants	Land Plants	720.458	34	GCA_000577875.1	NA	CBYR01	57205	NA	NA	2014-02-17	2015-01-30	Contig	PRI	SAMEA3138941
Arabis alpina	50452	PRJNA241291	241291	Plants	Land Plants	308.033	37.9325	GCA_000733195.1	chromosome 1:CM002869.1; chromosome 2:CM002870.1; chromosome 3:CM002871.1; chromosome 4:CM002872.1; chromosome 5:CM002873.1; chromosome 6:CM002874.1; chromosome 7:CM002875.1; chromosome 8:CM002876.1	JNGA01	27779	30216	23286	2014-07-21	2014-08-12	Chromosome	TRANSNET	SAMN02689159
Santalum album	35974	PRJNA304116	304116	Plants	Land Plants	220.961	34.1	GCA_002925775.1	NA	LOCJ01	12821	NA	NA	2018-02-12	2018-02-12	Scaffold	Centre for Cellular and Molecular Platforms	SAMN04295983
Ziziphus jujuba	326968	PRJNA306374	306374	Plants	Land Plants	351.097	31.5	GCA_001835785.1	NA	LPXJ01	36119	NA	NA	2016-10-24	2016-10-24	Scaffold	Jujube genome sequencing	SAMN04349627
Boehmeria nivea	83906	PRJNA387518	387518	Plants	Land Plants	316.026	32.8	GCA_002806895.1	NA	NHTU01	154955	NA	NA	2017-12-04	2017-12-04	Scaffold	Chinese Academy of Agricultural Sciences	SAMN07156258
Ensete ventricosum	4639	PRJNA170519	170519	Plants	Land Plants	437.27	38.9	GCA_000331365.2	NA	AMZH02	52692	NA	NA	2013-01-07	2015-11-12	Scaffold	University of Exeter	SAMN01797775
Nelumbo nucifera	4432	PRJNA192418	192418	Plants	Land Plants	790.339	39	GCA_000805495.1	NA	APLB01	14895	NA	NA	2014-12-19	2014-12-22	Scaffold	BGI	SAMN03267314
Camelina sativa	90675	PRJNA210747	210747	Plants	Land Plants	547.649	37.1	GCA_000496875.1	NA	AUUT01	15937	NA	NA	2013-11-14	2014-08-11	Scaffold	Penn State University	SAMN02981554
Punica granatum	22663	PRJNA413660	413660	Plants	Land Plants	380.178	29.2	GCA_002837095.1	NA	PGOL01	45308	50476	50476	2017-12-12	2017-12-12	Scaffold	Genetic Resources Institute	SAMN07760148
Ananas comosus	4615	PRJNA300906	300906	Plants	Land Plants	524.07	37.8	GCA_001661175.1	NA	LSRQ01	8448	23598	23598	2016-06-10	2016-06-10	Scaffold	Universiti Malaysia Sabah	SAMN04230745
Triticum dicoccoides	85692	PRJNA310175	310175	Plants	Land Plants	10494.9	46.0817	GCA_002162155.1	chromosome 1A:CM007921.1; chromosome 1B:CM007922.1; chromosome 2A:CM007923.1; chromosome 2B:CM007924.1; chromosome 3A:CM007925.1; chromosome 3B:CM007926.1; chromosome 4A:CM007927.1; chromosome 4B:CM007928.1; chromosome 5A:CM007929.1; chromosome 5B:CM007930.1; chromosome 6A:CM007931.1; chromosome 6B:CM007932.1; chromosome 7A:CM007933.1; chromosome 7B:CM007934.1	LSYQ01	149134	NA	NA	2017-05-18	2017-06-01	Chromosome	WEWseq consortium	SAMN04448013
Nicotiana attenuata	49451	PRJNA323578	323578	Plants	Land Plants	1827.78	29.1	GCA_002018495.1	NA	MCOF01	951503	NA	NA	2017-03-06	2017-03-06	Scaffold	Max Planck Institute for Chemical Ecology	SAMN05181486
Glycine soja	3848	PRJNA223435	223435	Plants	Land Plants	863.568	34.5	GCA_000722935.2	NA	AZNC01	33170	50399	50399	2014-07-07	2014-12-17	Scaffold	The Chinese University of Hong Kong	SAMN02905861
Arabidopsis halleri subsp. gemmifera	63677	PRJDB1392	235279	Plants	Land Plants	221.14	37.1	GCA_000523005.1	NA	BASO01	282453	NA	NA	2014-01-16	2015-12-08	Scaffold	Tokyo Institute of Technology	SAMD00008636
Euphorbia esula	3993	PRJNA411945	411945	Plants	Land Plants	639.02	37.1	GCA_002918425.1	NA	PJAE01	912031	NA	NA	2018-02-06	2018-02-06	Scaffold	USDA-ARS	SAMN08132862
Raphanus sativus	3726	PRJNA259311	259311	Plants	Land Plants	382.79	36.2027	GCA_002197605.1	chromosome LG1:CM007999.1; chromosome LG2:CM008000.1; chromosome LG3:CM008001.1; chromosome LG4:CM008002.1; chromosome LG5:CM008003.1; chromosome LG6:CM008004.1; chromosome LG7:CM008005.1; chromosome LG8:CM008006.1; chromosome LG9:CM008007.1	JSDR01	44239	NA	NA	2017-06-15	2017-06-19	Chromosome	Institute of Vegetables and Flowers, Chinese Academy of Agricultural Science	SAMN03003650
Fragaria x ananassa	3747	PRJDB1476	231450	Plants	Land Plants	173.23	39.6	GCA_000511695.1	NA	BATS01	211588	NA	NA	2013-11-27	2015-10-16	Scaffold	Kazusa DNA Research Institute	NA
Humulus lupulus var. cordifolius	278022	PRJDB3233	270039	Plants	Land Plants	2049.21	39.9	GCA_000830395.1	NA	BBPB01	132476	NA	NA	2014-12-11	2015-04-24	Scaffold	Iwate Biotechnology Research Center	SAMD00021059
Catharanthus roseus	4058	PRJEB7256	295448	Plants	Land Plants	0.11552	33.1	GCA_001292525.1	NA	CCXB01	7	NA	NA	2015-09-11	2015-09-11	Contig	TSL	SAMEA2766079
Chenopodium quinoa	63459	PRJDB4656	335724	Plants	Land Plants	1087.41	NA	GCA_001742885.1	NA	BDCQ01	24845	NA	NA	2016-07-28	2016-07-28	Scaffold	Kazusa DNA Research Institute	SAMD00048822
Eutrema salsugineum	72664	PRJNA80723	80723	Plants	Land Plants	231.893	38.4769	GCA_000325905.2	chromosome 1:CM001778.1; chromosome 2:CM001779.1; chromosome 3:CM001780.1; chromosome 4:CM001781.1; chromosome 5:CM001782.1; chromosome 6:CM001783.1; chromosome 7:CM001784.1	AHIU01	2663	NA	NA	2012-06-29	2014-08-11	Chromosome	IGDB	SAMN02981396
Arachis duranensis	130453	PRJNA288069	288069	Plants	Land Plants	1075.96	31.8	GCA_001687015.1	NA	MAMN01	20214	NA	NA	2016-07-18	2016-07-18	Scaffold	Diploid Progenitor Peanut A-genome Sequencing Consortium (DPPAGSC)	SAMN03799425
Ipomoea batatas	4120	PRJEB14638	400740	Plants	Land Plants	13.8613	NA	GCA_900092185.1	NA	FLTB01	41487	NA	NA	2017-08-26	2017-08-26	Contig	Max Planck Institute for Molecular Genetics	SAMEA4058359
Cannabis sativa	3483	PRJNA73819	73819	Plants	Land Plants	757.439	38.8	GCA_000230575.1	NA	AGQN01	135164	NA	NA	2011-10-13	2014-08-11	Scaffold	University of Toronto	SAMN02981385
Sesamum indicum	4182	PRJNA219369	219369	Plants	Land Plants	340.464	35	GCA_000975565.1	NA	JPLX01	76023	NA	NA	2015-04-22	2015-04-22	Scaffold	National Bureau of Plant Genetic Resources	SAMN02357081
Oryza meridionalis	40149	PRJNA305218	305218	Plants	Land Plants	354.611	43.2	GCA_001551795.1	NA	LONC01	3249	NA	NA	2016-02-07	2016-02-07	Contig	The University of Queensland	SAMN04320550
Oryza longistaminata	4528	PRJNA169314	169314	Plants	Land Plants	326.443	42.1	GCA_000789195.1	NA	AMDW01	60198	NA	NA	2014-12-03	2014-12-09	Scaffold	BGI	SAMN03247844
Picea glauca	3330	PRJNA242552	242552	Plants	Land Plants	26936.2	38.2	GCA_000966675.1	NA	JZKD01	3353683	NA	NA	2015-03-13	2015-03-13	Scaffold	SMarTForests Consortium	SAMN02736787
Vigna angularis var. angularis	157739	PRJNA253346	253346	Plants	Land Plants	444.439	31.772	GCA_001723775.1	chromosome 1:CM004624.1; chromosome 2:CM004625.1; chromosome 3:CM004626.1; chromosome 4:CM004627.1; chromosome 5:CM004628.1; chromosome 6:CM004629.1; chromosome 7:CM004630.1; chromosome 8:CM004631.1; chromosome 9:CM004632.1; chromosome 10:CM004633.1; chromosome 11:CM004634.1	JRFV01	3387	NA	NA	2016-09-13	2016-09-14	Chromosome	Seoul National University	SAMN02870185
Trifolium pratense	57577	PRJNA200547	200547	Plants	Land Plants	304.972	32.8	GCA_000583005.2	NA	ASHM01	267372	64070	63850	2014-02-27	2018-01-26	Contig	Masaryk University	SAMN02117604
Lupinus angustifolius	3871	PRJNA398717	398717	Plants	Land Plants	557.909	33.3878	GCA_002285895.2	chromosome LG-01:CP023113.2; chromosome LG-02:CP023114.1; chromosome LG-03:CP023115.1; chromosome LG-04:CP023116.1; chromosome LG-05:CP023117.1; chromosome LG-06:CP023118.1; chromosome LG-07:CP023119.1; chromosome LG-08:CP023120.1; chromosome LG-09:CP023121.1; chromosome LG-10:CP023122.1; chromosome LG-11:CP023123.1; chromosome LG-12:CP023124.1; chromosome LG-13:CP023125.1; chromosome LG-14:CP023126.1; chromosome LG-15:CP023127.1; chromosome LG-16:CP023128.1; chromosome LG-17:CP023129.1; chromosome LG-18:CP023130.1; chromosome LG-19:CP023131.1; chromosome LG-20:CP023132.1	NA	20	NA	NA	2017-09-05	2017-10-02	Chromosome	Department of Agricultural and Food	SAMN07515711
Setaria italica	4555	PRJNA314430	314430	Plants	Land Plants	477.542	46.2756	GCA_001652605.1	chromosome I:CM004364.1; chromosome II:CM004365.1; chromosome III:CM004366.1; chromosome IV:CM004367.1; chromosome V:CM004368.1; chromosome VI:CM004369.1; chromosome VII:CM004370.1; chromosome VIII:CM004371.1; chromosome IX:CM004372.1	LWRS01	2689	NA	NA	2016-05-26	2016-05-26	Chromosome	Academia Sinica	SAMN04534922
Gossypium arboreum	29729	PRJNA181159	181159	Plants	Land Plants	1862.24	38.7	GCA_000787975.1	NA	JRRC01	392831	35047	33609	2014-11-25	2014-12-02	Scaffold	NCGR	SAMN02441868
Aegilops tauschii	37682	PRJNA182898	182898	Plants	Land Plants	4310.35	46.401	GCA_000347335.2	chromosome 1:CM008423.1; chromosome 2:CM008424.1; chromosome 3:CM008425.1; chromosome 4:CM008426.1; chromosome 5:CM008427.1; chromosome 6:CM008428.1; chromosome 7:CM008429.1	AOCO02	112210	NA	NA	2017-10-25	2017-10-25	Chromosome	BGI	SAMN03004387
Oryza punctata	4537	PRJNA13770	13770	Plants	Land Plants	22.4654	43.6	GCA_000710525.1	chromosome 3:CM002809.1	JNWE01	1	NA	NA	2014-06-20	2014-06-30	Chromosome	The Oryza Map Alignment Project (OMAP)	SAMN02666882
Brassica oleracea var. capitata	3716	PRJNA174731	174731	Plants	Land Plants	514.431	37.2	GCA_000604025.1	NA	AOIX01	1816	NA	NA	2014-03-28	2014-04-01	Scaffold	Oil Crops Research Institute of Chinese Academy of Agricultural Sciences	SAMN01173935
Capsicum annuum	4072	PRJNA223222	223222	Plants	Land Plants	3063.86	35.3579	GCA_000512255.2	chromosome 1:CM008455.1; chromosome 2:CM008456.1; chromosome 3:CM008457.1; chromosome 4:CM008458.1; chromosome 5:CM008459.1; chromosome 6:CM008460.1; chromosome 7:CM008461.1; chromosome 8:CM008462.1; chromosome 9:CM008463.1; chromosome 10:CM008464.1; chromosome 11:CM008465.1; chromosome 12:CM008466.1	AYRZ02	35797	35845	35845	2013-12-30	2017-11-02	Chromosome	Seoul National University	SAMN02981571
Oryza brachyantha	4533	PRJNA232125	232125	Plants	Land Plants	14.4404	40.9	GCA_000710545.1	chromosome 3:CM002810.1	JNWF01	1	NA	NA	2014-06-20	2014-06-30	Chromosome	NCBI	SAMN02666884
Tetradesmus obliquus	3088	PRJNA382816	382816	Plants	Green Algae	208.176	56.6721	GCA_002149895.1	mitochondrion MT:CM007918.1; chloroplast Pltd:CM007919.1	NEDT01	2707	NA	NA	2017-05-18	2017-07-14	Contig	Brooklyn College - City University of New York	SAMN06733347
Gossypium barbadense	3634	PRJNA251673	251673	Plants	Land Plants	775.252	34	GCA_002926015.1	NA	LAGB01	4265	36871	36871	2018-02-13	2018-02-15	Scaffold	Gossypium barbadense cv. Xinhai21 genome sequencing consortium and Esquel Group	SAMN02800869
Silene latifolia	37657	PRJEB14171	352354	Plants	Land Plants	36.0486	NA	GCA_900095335.1	NA	FMHP01	46178	NA	NA	2016-11-03	2016-11-03	Contig	GENETIC DIVERSITY CENTRE	SAMEA4010231
Citrus sinensis	2711	PRJNA225968	225968	Plants	Land Plants	319.225	37.5	GCA_000695605.1	NA	JJOQ01	12573	28195	51718	2014-05-22	2014-05-30	Scaffold	DOE-Joint Genome Institute	SAMN02389851
Lagenaria siceraria	3668	PRJNA200441	200441	Plants	Land Plants	176.727	32.3	GCA_000466325.1	NA	ATBX01	305112	NA	NA	2013-09-11	2014-08-11	Scaffold	Institute of Vegetables, Zhejiang Academy of Agricultural Sciences	SAMN02981541
Trifolium subterraneum	3900	PRJDB2012	330656	Plants	Land Plants	392.71	33.3	GCA_002003065.1	NA	BBPR01	968279	NA	NA	2016-07-26	2016-07-26	Contig	Lab. of Plant Genome Informatics, Department of Plant Genome Research, Kazusa DNA Research Institute	SAMD00004202
Spinacia oleracea	3562	PRJNA41497	41497	Plants	Land Plants	493.772	38	GCA_000510995.2	NA	AYZV02	103502	21539	23522	2013-12-16	2015-07-22	Scaffold	Beta vulgaris resource	SAMN02182572
Gossypium raimondii	29730	PRJNA82769	82769	Plants	Land Plants	773.768	34	GCA_000331045.1	NA	AMOP01	4699	NA	NA	2013-01-04	2014-08-11	Scaffold	BGI	SAMN02981462
Cicer arietinum	3827	PRJNA78951	78951	Plants	Land Plants	510.877	32.215	GCA_000347275.3	chromosome Ca1:CM003628.2; chromosome Ca2:CM003629.2; chromosome Ca3:CM003630.2; chromosome Ca4:CM003631.2; chromosome Ca5:CM003632.2; chromosome Ca6:CM003633.2; chromosome Ca7:CM003634.2; chromosome Ca8:CM003635.2	AHII02	42976	NA	NA	2013-03-15	2015-12-09	Chromosome	National Institute of Plant Genome Research	SAMN03105794
Cajanus cajan	3821	PRJNA68667	68667	Plants	Land Plants	648.281	33.5	GCA_000230855.2	NA	AFSP02	360028	NA	NA	2011-10-17	2017-12-12	Contig	AKI-PGI	SAMN02981351
Oryza nivara	4536	PRJNA48107	48107	Plants	Land Plants	19.4244	43.3	GCA_000710535.2	chromosome 3:CM002811.2	JNWG02	1	NA	NA	2014-06-20	2017-02-06	Chromosome	Oryza Map Alignment Project (OMAP)	SAMN02666913
Spirodela polyrhiza	29656	PRJNA205940	205940	Plants	Land Plants	132.009	42.2	GCA_000504445.1	NA	ATDW01	16051	NA	NA	2013-12-06	2014-08-11	Contig	Waksman Institute	SAMN02981544
Oryza barthii	65489	PRJNA414073	414073	Plants	Land Plants	295.586	42.3	GCA_002926215.1	NA	PQXR01	46663	NA	NA	2018-02-13	2018-02-13	Scaffold	IRD	SAMN07776345
Phoenix dactylifera	42345	PRJNA40349	40349	Plants	Land Plants	381.563	38.8	GCA_000181215.2	NA	ACYX02	57277	NA	NA	2009-10-09	2014-08-11	Scaffold	Weill Cornell Medical College in Qatar	SAMN02981245
Elaeis guineensis	51953	PRJNA262510	262510	Plants	Land Plants	499.029	32.1	GCA_001672495.1	NA	JRVM01	218141	NA	NA	2016-06-20	2016-06-20	Scaffold	Seoul National University	SAMN03083522
Cucumis sativus	3659	PRJNA40333	40333	Plants	Land Plants	323.986	39.5	GCA_000224045.1	NA	ACYN01	13113	NA	NA	2011-08-18	2014-08-11	Scaffold	Polish Consortium of Cucumber Genome Sequencing	SAMN02981244
Jatropha curcas	180498	PRJDA52543	52543	Plants	Land Plants	297.661	33.8	GCA_000208675.2	NA	BABX02	39277	NA	NA	2011-01-07	2015-10-21	Scaffold	Kazusa DNA Research Institute	SAMD00004075
Brachypodium distachyon	15368	PRJNA319372	319372	Plants	Land Plants	214.716	45.3	GCA_001742125.1	NA	LXJM01	68977	NA	NA	2016-09-22	2018-01-03	Contig	The Sainsbury Laboratory	SAMN04886374
Vigna radiata var. radiata	3916	PRJNA276314	276314	Plants	Land Plants	454.907	32	GCA_001584445.1	NA	LJIH01	2418	NA	NA	2016-03-09	2016-03-09	Scaffold	Academia Sinica	SAMN04011950
Theobroma cacao	3641	PRJNA51633	51633	Plants	Land Plants	345.994	34.6855	GCA_000403535.1	chromosome 1:CM001879.1; chromosome 2:CM001880.1; chromosome 3:CM001881.1; chromosome 4:CM001882.1; chromosome 5:CM001883.1; chromosome 6:CM001884.1; chromosome 7:CM001885.1; chromosome 8:CM001886.1; chromosome 9:CM001887.1; chromosome 10:CM001888.1	ALXC01	814	29234	44186	2013-05-29	2014-08-11	Chromosome	Cacao genome consortium	SAMN02981445
Carica papaya	3649	PRJNA271489	271489	Plants	Land Plants	8.07745	36.7	GCA_001310045.1	chromosome Y:CP010988.1	NA	1	NA	NA	2015-10-09	2017-07-18	Chromosome	University of Illinois at Urbana-Champaign	NA
Hevea brasiliensis	3981	PRJNA80191	80191	Plants	Land Plants	1301.4	36.3	GCA_000340545.1	NA	AJJZ01	1150326	NA	NA	2013-02-06	2014-08-26	Scaffold	Centre for Chemical Biology (CCB@USM)	SAMN03004386
Arabidopsis lyrata subsp. petraea	59691	PRJDB1393	235280	Plants	Land Plants	202.972	37.6	GCA_000524985.1	NA	BASP01	281536	NA	NA	2014-01-16	2015-12-08	Scaffold	Tokyo Institute of Technology	SAMD00008633
Oryza rufipogon	4529	PRJNA305217	305217	Plants	Land Plants	384.518	43.9	GCA_001551805.1	NA	LONB01	2582	NA	NA	2016-02-07	2016-02-07	Contig	The University of Queensland	SAMN04320549
Manihot esculenta subsp. flabellifolia	478097	PRJNA236442	236442	Plants	Land Plants	390.836	34.4	GCA_000737105.1	NA	JPQE01	54016	NA	NA	2014-07-31	2014-08-01	Scaffold	The Cassava Genome Consortium	SAMN02592733
Nicotiana tabacum	4097	PRJNA208210	208210	Plants	Land Plants	3732.64	39	GCA_000715075.1	NA	AWOJ01	582565	NA	NA	2014-05-29	2015-04-28	Scaffold	Philip Morris International R&D	SAMN02316628
Solanum tuberosum	4113	PRJEB8869	321712	Plants	Land Plants	90.4582	39.1	GCA_900004685.1	NA	CVMJ01	39446	NA	NA	2016-05-16	2016-05-16	Contig	Bioforsk - Norwegian Institute of Agricultural and Environmental Research	SAMEA3335593
Ostreococcus tauri	70448	PRJNA337288	337288	Plants	Green Algae	14.7627	58.9	GCA_002158475.1	NA	NERT01	70	8205	8099	2017-05-26	2017-06-01	Scaffold	DOE Joint Genome Institute	SAMN05519167
Secale cereale	4550	PRJEB6214	354745	Plants	Land Plants	1684.93	46.7	GCA_900002355.1	NA	CCJQ01	1581707	NA	NA	2016-11-23	2016-11-23	Scaffold	IPK-Gatersleben	SAMEA2493929
Prunus persica	3760	PRJNA54011	54011	Plants	Land Plants	214.225	37.5	GCA_000218175.1	NA	AEJG01	30834	NA	NA	2011-06-01	2013-11-01	Scaffold	UC Davis Genome Center Bioinformatics Core	SAMN00115266
Phaseolus vulgaris	3885	PRJNA221782	221782	Plants	Land Plants	549.748	37.5322	GCA_001517995.1	chromosome 1:CM003672.1; chromosome 2:CM003673.1; chromosome 3:CM003674.1; chromosome 4:CM003675.1; chromosome 5:CM003676.1; chromosome 6:CM003677.1; chromosome 7:CM003678.1; chromosome 8:CM003679.1; chromosome 9:CM003680.1; chromosome 10:CM003681.1; chromosome 11:CM003682.1	LPQZ01	68335	NA	NA	2016-01-15	2016-01-22	Chromosome	PhasIbeAm	SAMN02364588
Malus domestica	3750	PRJNA339703	339703	Plants	Land Plants	702.961	39.3492	GCA_002114115.1	chromosome 1:CM007867.1; chromosome 2:CM007868.1; chromosome 3:CM007869.1; chromosome 4:CM007870.1; chromosome 5:CM007871.1; chromosome 6:CM007872.1; chromosome 7:CM007873.1; chromosome 8:CM007874.1; chromosome 9:CM007875.1; chromosome 10:CM007876.1; chromosome 11:CM007877.1; chromosome 12:CM007878.1; chromosome 13:CM007879.1; chromosome 14:CM007880.1; chromosome 15:CM007881.1; chromosome 16:CM007882.1; chromosome 17:CM007883.1	MJAX01	806	NA	NA	2017-04-28	2017-05-03	Chromosome	IRHS	SAMN05603590
Lactuca sativa	4236	PRJNA68025	68025	Plants	Land Plants	1133.66	36.8	GCA_000227445.1	NA	AFSA01	876110	NA	NA	2011-10-04	2014-08-04	Contig	Compositae Genome Project	SAMN00727718
Brassica napus	3708	PRJEB5043	259277	Plants	Land Plants	848.2	37.8	GCA_000751015.1	NA	CCCW01	20899	61153	61153	2014-08-22	2016-06-07	Scaffold	GSC	SAMEA3139102
Beta vulgaris subsp. vulgaris	3555	PRJNA41497	41497	Plants	Land Plants	568.609	37.9729	GCA_000510975.1	chromosome 1:CM002312.1; chromosome 2:CM002313.1; chromosome 3:CM002314.1; chromosome 4:CM002315.1; chromosome 5:CM002316.1; chromosome 6:CM002317.1; chromosome 7:CM002318.1; chromosome 8:CM002319.1; chromosome 9:CM002320.1	AYZY01	43635	NA	NA	2013-12-17	2013-12-19	Chromosome	Beta vulgaris resource	SAMN02182557
Sorghum bicolor	4558	PRJNA74553	74553	Plants	Land Plants	0.018494	45	GCA_000236725.2	NA	AHAQ01	20	22	22	2011-12-02	2014-08-11	Contig	BGI	SAMN02981391
